,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
277,STYLERS,Stylers International Limited,52.48,52.48,0.37,0.71%,0.19,0.0,"8,897",489.0,25654.0
278,SUHJNC,Suhail Jute Mills Limited,154.74,154.74,14.07,10.00%,0.01,0.0,"2,271",4.0,670.0
279,SURC,Suraj Cotton Mills Limited,142.62,142.62,0.52,0.37%,0.05,0.0,"22,550",49.0,6961.0
280,SWLNC,Standard Worldwide Limited,261.59,44.00,0.00,0.00%,0.0,0.0,0,1.0,33.0
281,SYM,Symmetry Group Limited,11.70,11.70,-0.33,-2.74%,0.03,0.0,"8,616,711",285.0,3337.0
282,SYS,Systems Limited,149.57,149.57,2.48,1.69%,1.66,0.0,"1,614,217",1473.0,220377.0
283,SZTM,Shahzad Textile Mills Limited,95.00,95.00,8.64,10.01%,0.01,0.0,"10,362",18.0,1707.0
284,TATM,Tata Textile Mills Limited,146.25,146.25,9.21,6.72%,0.06,0.0,"985,751",56.0,8189.0
285,TCORPXR,Tariq Corporation Limited,23.40,23.40,-0.05,-0.21%,0.01,0.0,"21,758",66.0,1549.0
286,TELE,Telecard Limited,9.02,9.02,0.15,1.69%,0.02,0.0,"6,680,749",339.0,3054.0
287,TGL,Tariq Glass Industries Limited,198.57,198.57,5.39,2.79%,0.26,0.0,"263,349",172.0,34187.0
288,THCCL,Thatta Cement Company Limited,68.47,68.47,2.81,4.28%,0.26,0.0,"6,237,100",499.0,34139.0
289,TICL,The Thal Industries Corporation Limited,960.97,960.97,87.36,10.00%,0.11,0.0,"6,058",15.0,14437.0
290,TOMCL,The Organic Meat Company Limited,43.57,43.57,-0.19,-0.43%,0.06,0.0,"2,785,725",196.0,8555.0
291,TOWL,Towellers Limited,131.10,131.10,-2.13,-1.60%,0.02,0.0,"19,358",17.0,2229.0
292,TPLRF1,TPL REIT Fund I,10.53,10.53,0.60,6.04%,0.15,0.0,"6,753,392",1835.0,19323.0
293,TREET,Treet Corporation Limited,25.89,25.89,0.78,3.11%,0.07,0.0,"8,843,244",371.0,9606.0
294,TRSM,Trust Modaraba,16.31,16.31,0.04,0.25%,0.0,0.0,"965,148",30.0,486.0
295,UBDL,United Brands Limited,24.82,24.82,-0.37,-1.47%,0.02,0.0,"30,949",92.0,2278.0
